threshold,precision_fall,recall_fall,f1_fall,false_positives,false_negatives,true_positives,true_negatives
0.2,0.8583170254403131,0.9932065217391305,0.92084820491287,362,15,2193,6639
0.3,0.8781174577634755,0.988677536231884,0.9301235619940349,303,25,2183,6698
0.4,0.8977649006622517,0.9823369565217391,0.9381487889273357,247,39,2169,6754
0.5,0.9150464919695689,0.9805253623188406,0.9466550065588106,201,43,2165,6800
0.6,0.9277993947254648,0.9719202898550725,0.9493474894934749,167,62,2146,6834
0.7,0.9435304579813251,0.9610507246376812,0.952210006730985,127,86,2122,6874
0.8,0.9581224114127934,0.9429347826086957,0.9504679296964164,91,126,2082,6910
